"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"205","40369139","PERGOLA DES ARTISTES","05/16/2018","A","Cycle Inspection / Initial Inspection",7
"206","40369158","JODY'S CLUB","08/02/2018","A","Cycle Inspection / Initial Inspection",12
"207","40369165","REIF'S TAVERN","02/13/2019","A","Cycle Inspection / Initial Inspection",7
"208","40369213","WHITESTONE LANES","01/05/2018","A","Cycle Inspection / Re-inspection",10
"209","40369262","JOHN'S PIZZERIA","10/25/2018","A","Cycle Inspection / Initial Inspection",11
"210","40369287","TWO STEPS DOWN","07/28/2017","A","Cycle Inspection / Initial Inspection",13
"211","40369299","SEASHORE RESTAURANT","05/14/2018","A","Cycle Inspection / Initial Inspection",8
"212","40369418","CAFFE REGGIO","02/26/2019","A","Cycle Inspection / Initial Inspection",8
"213","40369461","CAFE UN DEUX TROIS","02/11/2019","A","Cycle Inspection / Re-inspection",13
"214","40369482","ARMANDO'S PIZZA","05/22/2018","A","Cycle Inspection / Initial Inspection",9
"215","40369521","KNICKERBOCKER BAR & GRILL","02/15/2019","A","Cycle Inspection / Initial Inspection",13
"216","40369580","EL POTE ESPANOL","10/02/2018","B","Cycle Inspection / Re-inspection",27
"217","40369608","THE RIVER CAFE","06/13/2018","A","Cycle Inspection / Initial Inspection",13
"218","40369619","MUDVILLE SALOON","03/28/2019","A","Cycle Inspection / Initial Inspection",8
"219","40369641","JOHNNY'S REEF RESTAURANT","07/11/2018","A","Cycle Inspection / Initial Inspection",5
"220","40369667","WHITE CASTLE","04/12/2019","A","Cycle Inspection / Initial Inspection",8
"221","40369669","WHITE CASTLE","06/21/2018","A","Cycle Inspection / Initial Inspection",13
"222","40369675","WHITE CASTLE","01/10/2019","A","Cycle Inspection / Re-inspection",4
"223","40369716","FERDINANDO'S RESTAURANT","05/01/2018","A","Cycle Inspection / Initial Inspection",2
"224","40369724","MCDONALD'S","05/16/2018","A","Cycle Inspection / Initial Inspection",13
"225","40369759","NECTAR COFFEE SHOP","05/24/2018","A","Cycle Inspection / Initial Inspection",2
"226","40369775","THE CUPPING ROOM","02/01/2019","A","Cycle Inspection / Re-inspection",13
"227","40369782","MCDONALD'S","04/11/2018","A","Cycle Inspection / Initial Inspection",7
"228","40369810","PETE'S TAVERN","05/29/2018","A","Cycle Inspection / Initial Inspection",6
"229","40369849","GINO'S PIZZERIA","04/10/2018","A","Cycle Inspection / Initial Inspection",9
"230","40369869","JIM BRADY'S RESTAURANT","04/06/2018","A","Cycle Inspection / Initial Inspection",13
"231","40369878","VILLA MOSCONI RESTAURANT","03/13/2018","A","Cycle Inspection / Initial Inspection",3
"232","40369940","THE NEW AMITY RESTAURANT","03/28/2018","A","Cycle Inspection / Initial Inspection",12
"233","40369954","VOLARE RESTAURANT","10/11/2018","A","Cycle Inspection / Re-inspection",7
"234","40369958","SPARKS STEAK HOUSE","08/06/2018","A","Cycle Inspection / Initial Inspection",10
"235","40369983","THE DART SPORTS BAR","01/15/2019","A","Cycle Inspection / Re-inspection",11
"236","40370015","BAMONTE'S RESTAURANT","02/07/2019","A","Cycle Inspection / Initial Inspection",7
"237","40370150","JOHN MULLIGAN'S FIRESIDE PUB","04/30/2018","A","Cycle Inspection / Initial Inspection",8
"238","40370167","BURGER KING","05/09/2018","A","Cycle Inspection / Initial Inspection",12
"239","40370168","EAR INN","08/27/2018","A","Cycle Inspection / Re-inspection",13
"240","40370238","BURGER KING","03/21/2019","A","Cycle Inspection / Initial Inspection",5
"241","40370342","GREENPOINT TAVERN","02/22/2018","A","Cycle Inspection / Initial Inspection",7
"242","40370356","MCDONALD'S","07/10/2018","A","Cycle Inspection / Initial Inspection",7
"243","40370436","ROSSINI'S","02/26/2019","A","Cycle Inspection / Re-inspection",13
"244","40370463","THREE GUY'S RESTAURANT","03/12/2019","A","Cycle Inspection / Initial Inspection",10
"245","40370507","THE PLAYERS","03/19/2019","C","Cycle Inspection / Re-inspection",44
"246","40370638","TJK CAFE & RESTAURANT","03/23/2019","A","Cycle Inspection / Initial Inspection",11
"247","40370766","SMITH & WOLLENSKY","04/23/2018","A","Cycle Inspection / Initial Inspection",7
"248","40370781","MCDONALD'S","02/26/2019","A","Cycle Inspection / Re-inspection",13
"249","40370856","OLIVE TREE CAFE & COMEDY CELLAR","04/06/2018","A","Cycle Inspection / Initial Inspection",8
"250","40370916","BURGER KING","02/04/2019","A","Cycle Inspection / Initial Inspection",10
"251","40370917","BURGER KING","07/27/2018","A","Cycle Inspection / Initial Inspection",12
"252","40370939","MANDUCATIS","07/19/2018","A","Cycle Inspection / Initial Inspection",7
"253","40370994","MAMMA LUCIA","01/16/2019","A","Cycle Inspection / Initial Inspection",9
"254","40371454","WEST BANK CAFE","06/13/2018","A","Cycle Inspection / Initial Inspection",11
"255","40371614","LA BARAKA RESTAURANT","03/30/2018","A","Cycle Inspection / Re-inspection",12
