"","CAMIS","DBA","BUILDING","STREET","ADDRESS_Ext","lon","lat"
"2831",40941045,"MARIO'S RESTAURANT","2342","ARTHUR AVENUE","2342,ARTHUR AVENUE,New York, NY",-73.888448,40.8541619
"2832",40941224,"SOMOON","4104","162 STREET","4104,162 STREET,New York, NY",-73.8039958,40.7612249
"2833",40941320,"TAAM MEVORACH","815","AVENUE U","815,AVENUE U,New York, NY",-73.9625016,40.5983634
"2834",40941619,"DOMINO'S","3215","JUNCTION BOULEVARD","3215,JUNCTION BOULEVARD,New York, NY",-73.8742467,40.7582205
"2835",40941849,"LA GRAN VIA BAKERY","4516","5 AVENUE","4516,5 AVENUE,New York, NY",-74.0080125,40.6476485
"2836",40942069,"CASSIDY'S PUB","65","WEST   55 STREET","65,WEST   55 STREET,New York, NY",-73.9771995,40.7628464
"2837",40942152,"CROTON RESERVOIR TAVERN","108110","WEST   40 STREET","108110,WEST   40 STREET,New York, NY",-73.9918198,40.7564027
"2838",40942342,"LARRY FLYNT'S HUSTLER CLUB","639641","WEST   51 STREET","639641,WEST   51 STREET,New York, NY",-73.9868882,40.7634449
"2839",40942438,"SKY TERRACE BAR","356","WEST   58 STREET","356,WEST   58 STREET,New York, NY",-73.9848986,40.7681686
"2840",40942443,"LIBRARY BAR","353","WEST   57 STREET","353,WEST   57 STREET,New York, NY",-73.9853258,40.767942
"2841",40942444,"HUDSON BAR","353","WEST   57 STREET","353,WEST   57 STREET,New York, NY",-73.9853258,40.767942
"2842",40942485,"107 WEST RESTAURANT","2787","BROADWAY","2787,BROADWAY,New York, NY",-73.9681495,40.8027323
"2843",40942949,"SNACK TAVERNA","63","BEDFORD STREET","63,BEDFORD STREET,New York, NY",-74.0048219,40.7310259
"2844",40943082,"CHUCK E. CHEESE'S","1816","EAST GUNHILL ROAD","1816,EAST GUNHILL ROAD,New York, NY",-73.8331763,40.8631623
"2845",40943103,"NEW YORK UNIVERSITY - KIMMEL STUDENT CENTER CAFETERIA","60","WASHINGTON SQUARE SOUTH","60,WASHINGTON SQUARE SOUTH,New York, NY",-73.9978275,40.7299366
"2846",40943105,"NEW YORK UNIVERSITY - KIMMEL STUDENT CENTER (CATERING KITCHEN)","60","WASHINGTON SQUARE SOUTH","60,WASHINGTON SQUARE SOUTH,New York, NY",-73.9978275,40.7299366
"2847",40943174,"MAX  CAFFE","1262","AMSTERDAM AVENUE","1262,AMSTERDAM AVENUE,New York, NY",-73.9583194,40.8108933
"2848",40943306,"BEST-BITES RESTAURANT & BAKERY","4601","CHURCH AVENUE","4601,CHURCH AVENUE,New York, NY",-73.9341566,40.6517757
"2849",40943583,"THE PRESS BOX","932","2 AVENUE","932,2 AVENUE,New York, NY",-73.9685607,40.7545101
"2850",40943615,"OTTO'S SHRUNKEN HEAD","538","EAST   14 STREET","538,EAST   14 STREET,New York, NY",-73.9787559,40.7293456
"2851",40943621,"REDD'S","511","GRAND STREET","511,GRAND STREET,New York, NY",-73.9821421,40.7144668
"2852",40943754,"PRINTON 56","50","WEST   56 STREET","50,WEST   56 STREET,New York, NY",-73.9769279,40.7631406
"2853",40944072,"SUPERFINE","126","FRONT STREET","126,FRONT STREET,New York, NY",-73.9873646,40.70224
"2854",40944804,"BLAGGARD'S PUB","8","WEST   38 STREET","8,WEST   38 STREET,New York, NY",-73.9835998,40.7511298
"2855",40944872,"40/40 CLUB","6","WEST   25 STREET","6,WEST   25 STREET,New York, NY",-73.989694,40.7430507
"2856",40944945,"Stage 42","422","WEST   42 STREET","422,WEST   42 STREET,New York, NY",-73.9938754,40.7586513
"2857",40945123,"FRANK'S PIZZA","4106","EAST TREMONT AVENUE","4106,EAST TREMONT AVENUE,New York, NY",-73.8173809,40.81871
"2858",40945190,"3 SISTERS' & SHANTA'S RESTAURANT & BAKERY","10704","LIBERTY AVENUE","10704,LIBERTY AVENUE,New York, NY",-73.8342984,40.6831865
"2859",40945325,"POPEYES LOUISIANA KITCHEN","624","SOUTH CONDUIT BOULEVARD","624,SOUTH CONDUIT BOULEVARD,New York, NY",-73.8668192,40.6757225
"2860",40945328,"TONY'S PIZZA SPOT","431","DEKALB AVENUE","431,DEKALB AVENUE,New York, NY",-73.96016,40.690584
"2861",40945643,"STARBUCKS","76","9 AVENUE","76,9 AVENUE,New York, NY",-74.0045012,40.7417806
"2862",40945691,"SANTA FE GRILL & BAR","6025","BROADWAY","6025,BROADWAY,New York, NY",-73.8977923,40.8915645
"2863",40945892,"EUROPA CAFE","3","TIMES SQUARE","3,TIMES SQUARE,New York, NY",-73.986783,40.756392
"2864",40945916,"CALIBELLA BAKERY","164","WYCKOFF AVENUE","164,WYCKOFF AVENUE,New York, NY",-73.9162707,40.7022445
"2865",40946043,"KAM TUNG RESTAURANT","261","BEACH  116 STREET","261,BEACH  116 STREET,New York, NY",-73.8382003,40.5809657
"2866",40946298,"JOY CURRY & TANDOOR","148","EAST   46 STREET","148,EAST   46 STREET,New York, NY",-73.9736302,40.7535502
"2867",40946369,"NICK & STEF'S STEAKHOUSE","9","PENN PLAZA","9,PENN PLAZA,New York, NY",-73.9932303,40.7510597
"2868",40946403,"STARBUCKS","468","FOREST AVENUE","468,FOREST AVENUE,New York, NY",-74.106072,40.630363
"2869",40946406,"STARBUCKS","111","WORTH STREET","111,WORTH STREET,New York, NY",-74.0033459,40.7159459
"2870",40946431,"MCDONALD'S","1883","ATLANTIC AVENUE","1883,ATLANTIC AVENUE,New York, NY",-73.9225258,40.6773364
"2871",40946956,"B-SIDE","204","AVENUE B","204,AVENUE B,New York, NY",-73.9789855,40.7284515
"2872",40946989,"PAMPANO","209","EAST   49 STREET","209,EAST   49 STREET,New York, NY",-73.9704858,40.7550102
"2873",40947038,"POPEYES","10413","LEFFERTS BOULEVARD","10413,LEFFERTS BOULEVARD,New York, NY",-73.8238828,40.6860114
"2874",40947076,"MILL BASIN BAGEL CAFE","6319","AVENUE N","6319,AVENUE N,New York, NY",-73.916547,40.6198299
"2875",40947395,"EUROPEAN BAR","6607","FRESH POND ROAD","6607,FRESH POND ROAD,New York, NY",-73.8980539,40.7088789
